pokemon,movement
Jigglypuff,Thunder Punch
Jigglypuff,Toxic
Jigglypuff,Tri Attack
Jigglypuff,Fire Punch
Jigglypuff,Ice Punch
Jigglypuff,Thunderbolt
Jigglypuff,Flamethrower
Jigglypuff,Thunder
Jigglypuff,Psychic
Jigglypuff,Solar Beam
Jigglypuff,Fire Blast
Jigglypuff,Blizzard
Jigglypuff,Ice Beam
Jigglypuff,Dream Eater
Wigglytuff,Headbutt
Wigglytuff,Teleport
Wigglytuff,Rest
Wigglytuff,Light Screen
Wigglytuff,Substitute
Wigglytuff,Reflect
Wigglytuff,Dig
Wigglytuff,Seismic Toss
Wigglytuff,Thunder Wave
Wigglytuff,Thunder Punch
Wigglytuff,Toxic
Wigglytuff,Tri Attack
Wigglytuff,Fire Punch
Wigglytuff,Ice Punch
Wigglytuff,Thunderbolt
Wigglytuff,Flamethrower
Wigglytuff,Thunder
Wigglytuff,Psychic
Wigglytuff,Solar Beam
Wigglytuff,Fire Blast
Wigglytuff,Hyper Beam
Wigglytuff,Blizzard
Wigglytuff,Ice Beam
Wigglytuff,Dream Eater
Zubat,Headbutt
Zubat,Rest
Zubat,Substitute
Zubat,Fly
Zubat,Toxic
Zubat,Mega Drain
Golbat,Headbutt
Golbat,Rest
Golbat,Substitute
Golbat,Fly
Golbat,Toxic
Golbat,Hyper Beam
Golbat,Mega Drain
Oddish,Headbutt
Oddish,Rest
Oddish,Substitute
Oddish,Reflect
Oddish,Toxic
Oddish,Solar Beam
Oddish,Mega Drain
Gloom,Headbutt
Gloom,Rest
Gloom,Substitute
Gloom,Reflect
Gloom,Toxic
Gloom,Solar Beam
Gloom,Mega Drain
Vileplume,Headbutt
Vileplume,Rest
Vileplume,Substitute
Vileplume,Reflect
Vileplume,Toxic
Vileplume,Solar Beam
Vileplume,Hyper Beam
Vileplume,Mega Drain
Paras,Headbutt
Paras,Rest
Paras,Light Screen
Paras,Substitute
Paras,Reflect
Paras,Dig
Paras,Toxic
Paras,Solar Beam
Paras,Mega Drain
Parasect,Headbutt
Parasect,Rest
Parasect,Light Screen
Parasect,Substitute
Parasect,Reflect
Parasect,Dig
Parasect,Toxic
Parasect,Solar Beam
Parasect,Hyper Beam
Parasect,Mega Drain
Venonat,Headbutt
Venonat,Rest
Venonat,Substitute
Venonat,Reflect
Venonat,Toxic
Venonat,Psychic
Venonat,Solar Beam
Venonat,Mega Drain
Venomoth,Headbutt
Venomoth,Teleport
Venomoth,Rest
Venomoth,Substitute
Venomoth,Reflect
Venomoth,Toxic
Venomoth,Psychic
Venomoth,Solar Beam
Venomoth,Hyper Beam
Venomoth,Mega Drain
Venomoth,Dream Eater
Diglett,Headbutt
Diglett,Rest
Diglett,Substitute
Diglett,Dig
Diglett,Rock Slide
Diglett,Toxic
Diglett,Earthquake
Dugtrio,Headbutt
Dugtrio,Rest
Dugtrio,Substitute
Dugtrio,Dig
Dugtrio,Rock Slide
Dugtrio,Toxic
Dugtrio,Tri Attack
Dugtrio,Earthquake
Dugtrio,Hyper Beam
Meowth,Headbutt
Meowth,Rest
Meowth,Substitute
Meowth,Dig
Meowth,Toxic
Meowth,Thunderbolt
Meowth,Thunder
Meowth,Pay Day
Persian,Headbutt
Persian,Rest
Persian,Substitute
Persian,Dig
Persian,Toxic
Persian,Thunderbolt
Persian,Thunder
Persian,Hyper Beam
Persian,Pay Day
Persian,Dream Eater
Psyduck,Headbutt
Psyduck,Rest
Psyduck,Light Screen
Psyduck,Substitute
Psyduck,Dig
Psyduck,Seismic Toss
Psyduck,Waterfall
Psyduck,Toxic
Psyduck,Ice Punch
Psyduck,Psychic
Psyduck,Surf
Psyduck,Blizzard
Psyduck,Ice Beam
Psyduck,Pay Day
Golduck,Headbutt
Golduck,Rest
Golduck,Light Screen
Golduck,Substitute
Golduck,Dig
Golduck,Seismic Toss
Golduck,Waterfall
Golduck,Toxic
Golduck,Ice Punch
Golduck,Psychic
Golduck,Surf
Golduck,Hyper Beam
Golduck,Blizzard
Golduck,Ice Beam
Golduck,Pay Day
Mankey,Headbutt
Mankey,Rest
Mankey,Substitute
Mankey,Dig
Mankey,Seismic Toss
Mankey,Rock Slide
Mankey,Thunder Punch
Mankey,Toxic
Mankey,Fire Punch
Mankey,Ice Punch
Mankey,Thunderbolt
Mankey,Thunder
Mankey,Earthquake
Mankey,Pay Day
Primeape,Headbutt
Primeape,Rest
Primeape,Substitute
Primeape,Dig
Primeape,Seismic Toss
Primeape,Rock Slide
Primeape,Thunder Punch
Primeape,Toxic
Primeape,Fire Punch
Primeape,Ice Punch
Primeape,Thunderbolt
Primeape,Thunder
Primeape,Earthquake
Primeape,Hyper Beam
Primeape,Pay Day
Growlithe,Headbutt
Growlithe,Rest
Growlithe,Substitute
Growlithe,Reflect
Growlithe,Dig
Growlithe,Toxic
Growlithe,Flamethrower
Growlithe,Fire Blast
Arcanine,Headbutt
Arcanine,Teleport
Arcanine,Rest
Arcanine,Substitute
Arcanine,Reflect
Arcanine,Dig
Arcanine,Toxic
Arcanine,Flamethrower
Arcanine,Solar Beam
Arcanine,Fire Blast
Arcanine,Hyper Beam
Poliwag,Headbutt
Poliwag,Rest
Poliwag,Substitute
Poliwag,Dig
Poliwag,Waterfall
Poliwag,Toxic
Poliwag,Psychic
Poliwag,Surf
Poliwag,Blizzard
Poliwag,Ice Beam
Poliwhirl,Headbutt
Poliwhirl,Rest
Poliwhirl,Substitute
Poliwhirl,Dig
Poliwhirl,Seismic Toss
Poliwhirl,Waterfall
Poliwhirl,Toxic
Poliwhirl,Ice Punch
Poliwhirl,Psychic
Poliwhirl,Earthquake
Poliwhirl,Surf
Poliwhirl,Blizzard
Poliwhirl,Ice Beam
Poliwrath,Headbutt
Poliwrath,Rest
Poliwrath,Substitute
Poliwrath,Dig
Poliwrath,Seismic Toss
Poliwrath,Rock Slide
Poliwrath,Waterfall
Poliwrath,Toxic
Poliwrath,Ice Punch
Poliwrath,Psychic
Poliwrath,Earthquake
Poliwrath,Surf
Poliwrath,Hyper Beam
Poliwrath,Blizzard
Poliwrath,Ice Beam
Abra,Headbutt
Abra,Teleport
Abra,Rest
Abra,Light Screen
Abra,Substitute
Abra,Reflect
Abra,Seismic Toss
Abra,Thunder Wave
Abra,Thunder Punch
Abra,Toxic
Abra,Tri Attack
Abra,Fire Punch
Abra,Ice Punch
Abra,Psychic
Abra,Dream Eater
Kadabra,Headbutt
Kadabra,Teleport
Kadabra,Rest
Kadabra,Light Screen
Kadabra,Substitute
Kadabra,Reflect
Kadabra,Dig
Kadabra,Seismic Toss
Kadabra,Thunder Wave
Kadabra,Thunder Punch
Kadabra,Toxic
Kadabra,Tri Attack
Kadabra,Fire Punch
Kadabra,Ice Punch
Kadabra,Psychic
Kadabra,Dream Eater
Alakazam,Headbutt
Alakazam,Teleport
Alakazam,Rest
Alakazam,Light Screen
Alakazam,Substitute
Alakazam,Reflect
Alakazam,Dig
Alakazam,Seismic Toss
Alakazam,Thunder Wave
Alakazam,Thunder Punch
Alakazam,Toxic
Alakazam,Tri Attack
Alakazam,Fire Punch
Alakazam,Ice Punch
Alakazam,Psychic
Alakazam,Hyper Beam
Alakazam,Dream Eater
Machop,Headbutt
Machop,Rest
Machop,Light Screen
Machop,Substitute
Machop,Dig
Machop,Seismic Toss
Machop,Rock Slide
Machop,Thunder Punch
Machop,Toxic
Machop,Fire Punch
Machop,Ice Punch
Machop,Flamethrower
Machop,Earthquake
Machop,Fire Blast
Machoke,Headbutt
Machoke,Rest
Machoke,Light Screen
Machoke,Substitute
Machoke,Dig
Machoke,Seismic Toss
Machoke,Rock Slide
Machoke,Thunder Punch
Machoke,Toxic
Machoke,Fire Punch
Machoke,Ice Punch
Machoke,Flamethrower
Machoke,Earthquake
Machoke,Fire Blast
Machamp,Headbutt
Machamp,Rest
Machamp,Light Screen
Machamp,Substitute
Machamp,Dig
Machamp,Seismic Toss
Machamp,Rock Slide
Machamp,Thunder Punch
Machamp,Toxic
Machamp,Fire Punch
Machamp,Ice Punch
Machamp,Flamethrower
Machamp,Earthquake
Machamp,Fire Blast
Machamp,Hyper Beam
Bellsprout,Headbutt
Bellsprout,Rest
Bellsprout,Substitute
Bellsprout,Reflect
Bellsprout,Toxic
Bellsprout,Solar Beam
Bellsprout,Mega Drain
Weepinbell,Headbutt
Weepinbell,Rest
Weepinbell,Substitute
Weepinbell,Reflect
Weepinbell,Toxic
Weepinbell,Solar Beam
Weepinbell,Mega Drain
Victreebel,Headbutt
Victreebel,Rest
Victreebel,Substitute
Victreebel,Reflect
Victreebel,Toxic
Victreebel,Solar Beam
Victreebel,Hyper Beam
Victreebel,Mega Drain
Tentacool,Headbutt
Tentacool,Rest
Tentacool,Substitute
Tentacool,Reflect
Tentacool,Waterfall
Tentacool,Toxic
Tentacool,Surf
Tentacool,Blizzard
Tentacool,Mega Drain
Tentacool,Ice Beam
Tentacruel,Headbutt
Tentacruel,Rest
Tentacruel,Substitute
Tentacruel,Reflect
Tentacruel,Waterfall
Tentacruel,Toxic
Tentacruel,Surf
Tentacruel,Hyper Beam
Tentacruel,Blizzard
Tentacruel,Mega Drain
Tentacruel,Ice Beam
Geodude,Headbutt
Geodude,Rest
Geodude,Substitute
Geodude,Dig
Geodude,Seismic Toss
Geodude,Rock Slide
Geodude,Thunder Punch
Geodude,Toxic
Geodude,Fire Punch
Geodude,Flamethrower
Geodude,Earthquake
Geodude,Self-Destruct
Geodude,Fire Blast
Graveler,Headbutt
Graveler,Rest
Graveler,Substitute
Graveler,Dig
Graveler,Seismic Toss
Graveler,Rock Slide
Graveler,Thunder Punch
Graveler,Toxic
Graveler,Fire Punch
Graveler,Flamethrower
Graveler,Earthquake
Graveler,Self-Destruct
Graveler,Fire Blast
Golem,Headbutt
Golem,Rest
Golem,Substitute
Golem,Dig
Golem,Seismic Toss
Golem,Rock Slide
Golem,Thunder Punch
Golem,Toxic
Golem,Fire Punch
Golem,Flamethrower
Golem,Earthquake
Golem,Self-Destruct
Golem,Fire Blast
Golem,Hyper Beam
Ponyta,Headbutt
Ponyta,Rest
Ponyta,Substitute
Ponyta,Reflect
Ponyta,Toxic
Ponyta,Flamethrower
Ponyta,Solar Beam
Ponyta,Fire Blast
Rapidash,Headbutt
Rapidash,Rest
Rapidash,Substitute
Rapidash,Reflect
Rapidash,Toxic
Rapidash,Flamethrower
Rapidash,Solar Beam
Rapidash,Fire Blast
Rapidash,Hyper Beam
Slowpoke,Headbutt
Slowpoke,Teleport
Slowpoke,Rest
Slowpoke,Light Screen
Slowpoke,Substitute
Slowpoke,Reflect
Slowpoke,Dig
Slowpoke,Thunder Wave
Slowpoke,Toxic
Slowpoke,Tri Attack
Slowpoke,Flamethrower
Slowpoke,Psychic
Slowpoke,Earthquake
Slowpoke,Fire Blast
Slowpoke,Surf
Slowpoke,Blizzard
Slowpoke,Ice Beam
Slowpoke,Pay Day
Slowpoke,Dream Eater
Slowbro,Headbutt
Slowbro,Teleport
Slowbro,Rest
Slowbro,Light Screen
Slowbro,Substitute
Slowbro,Reflect
Slowbro,Dig
Slowbro,Seismic Toss
Slowbro,Thunder Wave
Slowbro,Toxic
Slowbro,Tri Attack
Slowbro,Ice Punch
Slowbro,Flamethrower
Slowbro,Psychic
Slowbro,Earthquake
Slowbro,Fire Blast
Slowbro,Surf
Slowbro,Hyper Beam
Slowbro,Blizzard
Slowbro,Ice Beam
Slowbro,Pay Day
Slowbro,Dream Eater
Magnemite,Headbutt
Magnemite,Teleport
Magnemite,Rest
Magnemite,Light Screen
Magnemite,Substitute
Magnemite,Reflect
Magnemite,Thunder Wave
Magnemite,Toxic
Magnemite,Thunderbolt
Magnemite,Thunder
Magneton,Headbutt
Magneton,Teleport
Magneton,Rest
Magneton,Light Screen
Magneton,Substitute
Magneton,Reflect
Magneton,Thunder Wave
Magneton,Toxic
Magneton,Tri Attack
Magneton,Thunderbolt
Magneton,Thunder
Magneton,Hyper Beam
Farfetch'd,Headbutt
Farfetch'd,Rest
Farfetch'd,Substitute
Farfetch'd,Reflect
Farfetch'd,Fly
Farfetch'd,Toxic
Doduo,Headbutt
Doduo,Rest
Doduo,Substitute
Doduo,Reflect
Doduo,Fly
Doduo,Toxic
Dodrio,Headbutt
Dodrio,Rest
Dodrio,Substitute
Dodrio,Reflect
Dodrio,Fly
Dodrio,Toxic
Dodrio,Tri Attack
Dodrio,Hyper Beam
Seel,Headbutt
Seel,Rest
Seel,Substitute
Seel,Waterfall
Seel,Toxic
Seel,Surf
Seel,Blizzard
Seel,Ice Beam
Seel,Pay Day
Dewgong,Headbutt
Dewgong,Rest
Dewgong,Substitute
Dewgong,Waterfall
Dewgong,Toxic
Dewgong,Surf
Dewgong,Hyper Beam
Dewgong,Blizzard
Dewgong,Ice Beam
Dewgong,Pay Day
Grimer,Headbutt
Grimer,Rest
Grimer,Substitute
Grimer,Dig
Grimer,Rock Slide
Grimer,Thunder Punch
Grimer,Toxic
Grimer,Fire Punch
Grimer,Ice Punch
Grimer,Thunderbolt
Grimer,Flamethrower
Grimer,Thunder
Grimer,Self-Destruct
Grimer,Fire Blast
Grimer,Mega Drain
Muk,Headbutt
Muk,Rest
Muk,Substitute
Muk,Dig
Muk,Rock Slide
Muk,Thunder Punch
Muk,Toxic
Muk,Fire Punch
Muk,Ice Punch
Muk,Thunderbolt
Muk,Flamethrower
Muk,Thunder
Muk,Self-Destruct
Muk,Fire Blast
Muk,Hyper Beam
Muk,Mega Drain
Shellder,Headbutt
Shellder,Teleport
Shellder,Rest
Shellder,Substitute
Shellder,Reflect
Shellder,Toxic
Shellder,Tri Attack
Shellder,Self-Destruct
Shellder,Surf
Shellder,Blizzard
Shellder,Ice Beam
Cloyster,Headbutt
Cloyster,Teleport
Cloyster,Rest
Cloyster,Substitute
Cloyster,Reflect
Cloyster,Toxic
Cloyster,Tri Attack
Cloyster,Self-Destruct
Cloyster,Surf
Cloyster,Hyper Beam
Cloyster,Blizzard
Cloyster,Ice Beam
Gastly,Headbutt
Gastly,Rest
Gastly,Substitute
Gastly,Thunder Punch
Gastly,Toxic
Gastly,Fire Punch
Gastly,Ice Punch
Gastly,Thunderbolt
Gastly,Thunder
Gastly,Psychic
Gastly,Self-Destruct
Gastly,Mega Drain
Gastly,Dream Eater
Haunter,Headbutt
Haunter,Rest
Haunter,Substitute
Haunter,Thunder Punch
Haunter,Toxic
Haunter,Fire Punch
Haunter,Ice Punch
Haunter,Thunderbolt
Haunter,Thunder
Haunter,Psychic
Haunter,Self-Destruct
Haunter,Mega Drain
Haunter,Dream Eater
Gengar,Headbutt
Gengar,Rest
Gengar,Substitute
Gengar,Seismic Toss
Gengar,Thunder Punch
Gengar,Toxic
Gengar,Fire Punch
Gengar,Ice Punch
Gengar,Thunderbolt
Gengar,Thunder
Gengar,Psychic
Gengar,Self-Destruct
Gengar,Hyper Beam
Gengar,Mega Drain
Gengar,Dream Eater
Onix,Headbutt
Onix,Rest
Onix,Substitute
Onix,Dig
Onix,Rock Slide
Onix,Toxic
Onix,Earthquake
Onix,Self-Destruct
Drowzee,Headbutt
Drowzee,Teleport
Drowzee,Rest
Drowzee,Light Screen
Drowzee,Substitute
Drowzee,Reflect
Drowzee,Seismic Toss
Drowzee,Thunder Wave
Drowzee,Thunder Punch
Drowzee,Toxic
Drowzee,Tri Attack
Drowzee,Fire Punch
Drowzee,Ice Punch
Drowzee,Psychic
Drowzee,Dream Eater
Hypno,Headbutt
Hypno,Teleport
Hypno,Rest
Hypno,Light Screen
Hypno,Substitute
Hypno,Reflect
Hypno,Seismic Toss
Hypno,Thunder Wave
Hypno,Thunder Punch
Hypno,Toxic
Hypno,Tri Attack
Hypno,Fire Punch
Hypno,Ice Punch
Hypno,Psychic
Hypno,Hyper Beam
Hypno,Dream Eater
Krabby,Headbutt
Krabby,Rest
Krabby,Substitute
Krabby,Dig
Krabby,Rock Slide
Krabby,Toxic
Krabby,Surf
Krabby,Blizzard
Krabby,Ice Beam
Kingler,Headbutt
Kingler,Rest
Kingler,Substitute
Kingler,Dig
Kingler,Rock Slide
Kingler,Toxic
Kingler,Surf
Kingler,Hyper Beam
Kingler,Blizzard
Kingler,Ice Beam
Voltorb,Headbutt
Voltorb,Teleport
Voltorb,Rest
Voltorb,Light Screen
Voltorb,Substitute
Voltorb,Reflect
Voltorb,Thunder Wave
Voltorb,Toxic
Voltorb,Thunderbolt
Voltorb,Thunder
Voltorb,Self-Destruct
Electrode,Headbutt
Electrode,Teleport
Electrode,Rest
Electrode,Light Screen
Electrode,Substitute
Electrode,Reflect
Electrode,Thunder Wave
Electrode,Toxic
Electrode,Thunderbolt
Electrode,Thunder
Electrode,Self-Destruct
Electrode,Hyper Beam
Exeggcute,Headbutt
Exeggcute,Teleport
Exeggcute,Rest
Exeggcute,Light Screen
Exeggcute,Substitute
Exeggcute,Reflect
Exeggcute,Toxic
Exeggcute,Psychic
Exeggcute,Self-Destruct
Exeggcute,Solar Beam
Exeggcute,Mega Drain
Exeggcute,Dream Eater
Exeggutor,Headbutt
Exeggutor,Teleport
Exeggutor,Rest
Exeggutor,Light Screen
Exeggutor,Substitute
Exeggutor,Reflect
Exeggutor,Toxic
Exeggutor,Psychic
Exeggutor,Self-Destruct
Exeggutor,Solar Beam
Exeggutor,Hyper Beam
Exeggutor,Mega Drain
Exeggutor,Dream Eater
Cubone,Headbutt
Cubone,Rest
Cubone,Substitute
Cubone,Dig
Cubone,Seismic Toss
Cubone,Rock Slide
Cubone,Thunder Punch
Cubone,Toxic
Cubone,Fire Punch
Cubone,Flamethrower
Cubone,Earthquake
Cubone,Fire Blast
Cubone,Blizzard
Cubone,Ice Beam
Marowak,Headbutt
Marowak,Rest
Marowak,Substitute
Marowak,Dig
Marowak,Seismic Toss
Marowak,Rock Slide
Marowak,Thunder Punch
Marowak,Toxic
Marowak,Fire Punch
Marowak,Flamethrower
Marowak,Earthquake
Marowak,Fire Blast
Marowak,Hyper Beam
Marowak,Blizzard
Marowak,Ice Beam
Hitmonlee,Headbutt
Hitmonlee,Rest
Hitmonlee,Substitute
Hitmonlee,Seismic Toss
Hitmonlee,Rock Slide
Hitmonlee,Toxic
Hitmonlee,Earthquake
Hitmonchan,Headbutt
Hitmonchan,Rest
Hitmonchan,Substitute
Hitmonchan,Seismic Toss
Hitmonchan,Rock Slide
Hitmonchan,Thunder Punch
